59%	$191,929.70	$171,131.83	$20,797.87	12.2%
60%	$201,311.36	$181,011.99	$20,299.37	11.2%
61%	$211,096.70	$191,152.06	$19,944.64	10.4%
62%	$219,405.74	$200,927.60	$18,478.14	9.2%
63%	$228,563.20	$210,421.15	$18,142.05	8.6%
64%	$238,313.46	$221,196.19	$17,117.27	7.7%
65%	$249,137.43	$235,663.38	$13,474.05	5.7%
66%	$260,147.01	$244,897.12	$15,249.89	6.2%
67%	$271,875.08	$256,836.86	$15,038.22	5.9%
68%	$288,498.14	$270,437.12	$18,061.02	6.7%
69%	$301,999.85	$284,696.47	$17,303.38	6.1%
70%	$314,920.61	$298,494.39	$16,426.22	5.5%
71%	$328,617.37	$314,859.74	$13,757.63	4.4%
72%	$349,362.49	$332,360.59	$17,001.90	5.1%
73%	$365,919.18	$346,527.00	$19,392.18	5.6%
74%	$382,911.64	$367,447.18	$15,464.46	4.2%
75%	$403,283.56	$394,492.37	$8,791.19	2.2%
76%	$428,623.03	$421,013.90	$7,609.13	1.8%
77%	$455,610.73	$441,910.73	$13,700.00	3.1%
78%	$485,176.88	$467,978.84	$17,198.04	3.7%
79%	$523,925.50	$500,978.37	$22,947.13	4.6%
80%	$558,189.68	$533,012.92	$25,176.76	4.7%
81%	$591,350.95	$578,522.31	$12,828.64	2.2%
82%	$637,050.12	$622,853.45	$14,196.67	2.3%
83%	$681,782.41	$666,924.42	$14,857.99	2.2%
84%	$737,122.98	$719,876.99	$17,245.99	2.4%
85%	$795,218.85	$788,261.25	$6,957.60	0.9%
86%	$854,908.75	$862,009.45	-$7,100.70	-0.8%
87%	$928,665.81	$941,483.86	-$12,818.05	-1.4%
88%	$991,188.75	$1,042,954.25	-$51,765.50	-5.0%
89%	$1,085,969.92	$1,141,861.62	-$55,891.70	-4.9%
90%	$1,219,126.46	$1,262,318.06	-$43,191.60	-3.4%
91%	$1,355,268.26	$1,407,054.31	-$51,786.05	-3.7%
92%	$1,541,905.98	$1,543,296.95	-$1,390.97	-0.1%
93%	$1,767,510.16	$1,791,063.57	-$23,553.41	-1.3%
94%	$2,080,569.86	$2,169,622.95	-$89,053.09	-4.1%
95%	$2,584,130.26	$2,538,733.22	$45,397.04	1.8%
96%	$3,294,388.49	$2,987,342.24	$307,046.25	10.3%
97%	$4,640,603.15	$3,954,145.12	$686,458.03	17.4%
98%	$6,557,022.79	$6,209,387.36	$347,635.43	5.6%
99%	$11,099,166.07	$11,075,297.97	$23,868.10	0.2%
